GAME_ID,GAME_DATE,TEAM_ABBREVIATION_x,GAME_NO_x,AVG_PTS_x,AVG_AST_x,AVG_OREB_x,AVG_DREB_x,OFF_EFF_x,DEF_EFF_x,ELO_x,TEAM_ABBREVIATION_y,GAME_NO_y,AVG_PTS_y,AVG_AST_y,AVG_OREB_y,AVG_DREB_y,OFF_EFF_y,DEF_EFF_y,ELO_y,DIS_PTS,DIS_AST,DIS_OREB,DIS_DREB,DIS_OFF_EFF,DIS_DEF_EFF,DIS_ELO,PREDICTION,WL_x,MIN_x,PTS_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PLUS_MINUS_x,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
0022000048,2020-12-29,IND,4.0,118.0,28.333333333333332,9.0,36.333333333333336,111.2508,100.5657,1528.8664999999999,BOS,4.0,108.0,22.333333333333332,12.0,29.333333333333332,107.072,116.3252,1490.5585,10.0,6.0,-3.0,7.0000000000000036,4.178799999999995,-15.759499999999989,38.307999999999765,,0,241,111,43,84,0.512,12,33.0,0.364,13,16,0.813,4.0,32.0,36.0,27,9.0,5,14,25,-5.0,1,239,116,40,80,0.5,9,22.0,0.409,27,37,0.73,12.0,31.0,43.0,21,10.0,3,14,16,5.0
0022000049,2020-12-29,PHI,4.0,105.33333333333333,22.0,10.0,34.333333333333336,104.4283,103.7673,1509.425,TOR,3.0,106.5,29.0,8.5,32.0,101.5253,110.5815,1480.575,-1.1666666666666714,-7.0,1.5,2.3333333333333357,2.9029999999999916,-6.8142,28.84999999999991,,1,241,100,32,84,0.381,8,31.0,0.258,28,33,0.848,9.0,45.0,54.0,21,10.0,10,18,15,7.0,0,241,93,32,90,0.356,17,45.0,0.378,12,14,0.857,10.0,37.0,47.0,21,12.0,7,19,28,-7.0
0022000050,2020-12-29,WAS,4.0,113.33333333333333,27.666666666666668,8.333333333333334,35.0,105.068,112.1755,1471.6886,CHI,4.0,112.66666666666667,23.333333333333332,9.333333333333334,34.666666666666664,102.8606,115.0335,1470.5585,0.6666666666666572,4.333333333333336,-1.0,0.3333333333333357,2.2073999999999927,-2.858000000000004,1.1300999999998567,,0,240,107,37,84,0.44,10,37.0,0.27,23,26,0.885,8.0,39.0,47.0,25,6.0,6,19,28,-8.0,1,239,115,38,87,0.437,15,36.0,0.417,24,32,0.75,5.0,32.0,37.0,26,7.0,1,14,23,8.0
0022000051,2020-12-29,MIA,3.0,109.0,27.0,5.5,33.5,107.4951,104.0434,1500.575,MIL,4.0,123.0,22.666666666666668,13.0,39.0,119.3402,113.5188,1489.4415,-14.0,4.333333333333332,-7.5,-5.5,-11.845100000000002,-9.475399999999993,11.13350000000014,,0,240,97,37,79,0.468,11,37.0,0.297,12,18,0.667,3.0,27.0,30.0,23,9.0,6,21,18,-47.0,1,239,144,51,92,0.554,29,51.0,0.569,13,15,0.867,10.0,35.0,45.0,32,14.0,2,17,22,47.0
0022000052,2020-12-29,OKC,3.0,109.0,23.0,8.0,37.5,105.7226,105.2376,1499.4327999999998,ORL,4.0,121.0,22.333333333333332,11.0,35.666666666666664,115.6788,108.3493,1528.3114,-12.0,0.6666666666666679,-3.0,1.8333333333333357,-9.956199999999995,-3.111699999999999,-28.878600000000233,,0,240,107,43,87,0.494,11,34.0,0.324,10,19,0.526,10.0,37.0,47.0,20,3.0,7,20,18,-11.0,1,240,118,49,96,0.51,7,22.0,0.318,13,16,0.813,12.0,34.0,46.0,26,12.0,2,11,23,11.0
0022000053,2020-12-29,PHX,4.0,108.33333333333333,26.666666666666668,8.0,36.0,106.4178,100.8513,1510.575,NOP,4.0,103.0,21.0,10.666666666666666,36.666666666666664,101.7117,100.395,1510.0,5.333333333333329,5.666666666666668,-2.666666666666666,-0.6666666666666643,4.706100000000006,0.4562999999999988,0.5750000000000455,,1,239,111,37,84,0.44,19,47.0,0.404,18,19,0.947,12.0,31.0,43.0,24,7.0,4,10,18,25.0,0,241,86,37,77,0.481,3,24.0,0.125,9,18,0.5,7.0,34.0,41.0,18,8.0,3,16,14,-25.0
0022000054,2020-12-29,LAC,4.0,103.33333333333333,22.333333333333332,8.333333333333334,29.666666666666668,107.1923,117.9115,1508.2951,MIN,4.0,106.0,23.333333333333332,13.666666666666666,31.666666666666668,101.9231,108.6538,1509.425,-2.6666666666666714,-1.0,-5.333333333333332,-2.0,5.269199999999998,9.2577,-1.1298999999999069,,1,241,124,47,88,0.534,16,31.0,0.516,14,16,0.875,7.0,39.0,46.0,32,6.0,10,13,21,23.0,0,240,101,37,89,0.416,13,38.0,0.342,14,17,0.824,11.0,28.0,39.0,22,7.0,6,14,15,-23.0
0022000055,2020-12-29,SAC,4.0,110.0,22.666666666666668,12.0,37.666666666666664,106.246,109.7875,1509.425,DEN,4.0,118.0,28.0,10.333333333333334,33.0,113.5343,114.1758,1490.8379,-8.0,-5.333333333333332,1.666666666666666,4.666666666666664,-7.288300000000007,-4.388300000000001,18.587099999999964,,1,240,125,46,94,0.489,16,33.0,0.485,17,22,0.773,12.0,25.0,37.0,33,9.0,2,10,18,10.0,0,240,115,44,81,0.543,11,28.0,0.393,16,20,0.8,7.0,32.0,39.0,27,7.0,5,19,18,-10.0
0022000056,2020-12-30,BOS,5.0,110.0,22.0,12.0,29.75,110.1652,115.9239,1501.6566,MEM,4.0,115.66666666666667,22.333333333333332,10.0,38.0,106.3113,111.5196,1491.3874,-5.666666666666671,-0.33333333333333215,2.0,-8.25,3.853899999999996,4.404300000000006,10.269199999999955,,1,239,126,49,91,0.538,16,39.0,0.41,12,14,0.857,10.0,32.0,42.0,27,17.0,11,16,21,19.0,0,241,107,40,93,0.43,9,33.0,0.273,18,25,0.72,14.0,32.0,46.0,26,8.0,3,22,13,-19.0
0022000057,2020-12-30,BKN,5.0,115.75,24.0,10.25,38.75,109.7156,98.5782,1498.0495,ATL,4.0,124.66666666666667,25.666666666666668,9.666666666666666,38.666666666666664,120.4121,108.1777,1528.3114,-8.916666666666671,-1.6666666666666679,0.5833333333333339,0.0833333333333357,-10.6965,-9.599500000000006,-30.26189999999997,,1,239,145,54,100,0.54,19,41.0,0.463,18,23,0.783,9.0,31.0,40.0,30,6.0,3,8,24,4.0,0,240,141,47,99,0.475,18,46.0,0.391,29,35,0.829,17.0,37.0,54.0,27,5.0,2,12,19,-4.0
